Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Castor seed,2000,Kharif     ,Assam,1662.0,681,1965.5,163158.54,432.12,0.417619048
Cotton(lint),2000,Kharif     ,Assam,1673.0,760,1965.5,164238.41,434.98,0.426521739
Dry chillies,2000,Whole Year ,Assam,14688.0,9681,1965.5,1441920.96,3818.88,0.637826087
Gram,2000,Rabi       ,Assam,2661.0,1329,1965.5,261230.37,691.86,0.462380952
Linseed,2000,Rabi       ,Assam,10206.0,5278,1965.5,1001923.02,2653.56,0.505238095
Maize,2000,Kharif     ,Assam,20241.0,14616,1965.5,1987058.97,5262.66,0.605652174
Niger seed,2000,Kharif     ,Assam,9044.0,4653,1965.5,887849.48,2351.44,0.627368421
Onion,2000,Whole Year ,Assam,7359.0,17156,1965.5,722433.03,1913.34,2.331304348
Sesamum,2000,Kharif     ,Assam,14960.0,8076,1965.5,1468623.2,3889.6,0.489565217
Small millets,2000,Kharif     ,Assam,10591.0,5410,1965.5,1039718.47,2753.66,0.495454545
Sweet potato,2000,Whole Year ,Assam,8757.0,30351,1965.5,859674.69,2276.82,3.435217391
Tobacco,2000,Whole Year ,Assam,1278.0,624,1965.5,125461.26,332.28,0.584782609
Turmeric,2000,Whole Year ,Assam,11626.0,8032,1965.5,1141324.42,3022.76,0.668695652
Bajra,2000,Rabi       ,Karnataka,160.0,129,1213.3,15707.2,41.6,0.81
Bajra,2000,Summer     ,Karnataka,913.0,998,1213.3,89629.21,237.38,1.11
Black pepper,2000,Whole Year ,Karnataka,7249.0,17586,1213.3,711634.33,1884.74,2.263636364
Cardamom,2000,Whole Year ,Karnataka,19881.0,1132,1213.3,1951717.77,5169.06,0.06
Coriander,2000,Whole Year ,Karnataka,9829.0,1467,1213.3,964912.93,2555.54,0.119047619
Garlic,2000,Whole Year ,Karnataka,5949.0,4156,1213.3,584013.33,1546.74,1.491333333
Jowar,2000,Summer     ,Karnataka,5878.0,11916,1213.3,577043.26,1528.28,2.018571429
Linseed,2000,Rabi       ,Karnataka,17365.0,6404,1213.3,1704722.05,4514.9,0.360714286
Maize,2000,Summer     ,Karnataka,11165.0,31091,1213.3,1096068.05,2902.9,2.774761905
Mesta,2000,Kharif     ,Karnataka,4288.0,6666,1213.3,420952.96,1114.88,1.807142857
Moong(Green Gram),2000,Rabi       ,Karnataka,15474.0,4147,1213.3,1519082.58,4023.24,0.26875
Ragi,2000,Summer     ,Karnataka,10781.0,21376,1213.3,1058370.77,2803.06,1.982857143
Rapeseed &Mustard,2000,Rabi       ,Karnataka,7637.0,2012,1213.3,749724.29,1985.62,0.208888889
Sannhamp,2000,Whole Year ,Karnataka,1424.0,354,1213.3,139794.08,370.24,0.285
Urad,2000,Rabi       ,Karnataka,11924.0,4171,1213.3,1170579.08,3100.24,0.363125
Cotton(lint),2000,Kharif     ,Kerala,3847.0,6209,2412.6,377659.99,1000.22,1.61
Ginger,2000,Whole Year ,Kerala,11612.0,42699,2412.6,1139950.04,3019.12,2.957142857
Groundnut,2000,Kharif     ,Kerala,3677.0,2733,2412.6,360971.09,956.02,0.37
Jowar,2000,Kharif     ,Kerala,463.0,236,2412.6,45452.71,120.38,0.51
Ragi,2000,Kharif     ,Kerala,1955.0,1582,2412.6,191922.35,508.3,0.813333333
Sesamum,2000,Kharif     ,Kerala,2002.0,797,2412.6,196536.34,520.52,0.345833333
Turmeric,2000,Whole Year ,Kerala,4127.0,9037,2412.6,405147.59,1073.02,1.905714286
Arecanut,2000,Whole Year ,Puducherry,65.0,130,1434.5875,6381.05,16.9,2.0
Bajra,2000,Kharif     ,Puducherry,186.0,513,1434.5875,18259.62,48.36,2.76
Black pepper,2000,Whole Year ,Puducherry,12.0,7,1434.5875,1178.04,3.12,0.58
Cashewnut,2000,Whole Year ,Puducherry,202.0,121,1434.5875,19830.34,52.52,0.603333333
Coriander,2000,Whole Year ,Puducherry,1.0,1,1434.5875,98.17,0.26,1.0
Dry chillies,2000,Whole Year ,Puducherry,10.0,33,1434.5875,981.7,2.6,2.6775
Ginger,2000,Kharif     ,Puducherry,227.0,117,1434.5875,22284.59,59.02,0.54
Groundnut,2000,Kharif     ,Puducherry,1175.0,2158,1434.5875,115349.75,305.5,1.62
Jowar,2000,Kharif     ,Puducherry,6.0,6,1434.5875,589.02,1.56,1.0
Moong(Green Gram),2000,Kharif     ,Puducherry,2480.0,1400,1434.5875,243461.6,644.8,0.586666667
Moong(Green Gram),2000,Rabi       ,Puducherry,2480.0,1400,1434.5875,243461.6,644.8,0.586666667
Other  Rabi pulses,2000,Rabi       ,Puducherry,64.0,125,1434.5875,6282.88,16.64,1.18
Ragi,2000,Kharif     ,Puducherry,125.0,276,1434.5875,12271.25,32.5,2.21
Urad,2000,Kharif     ,Puducherry,3392.0,2123,1434.5875,332992.64,881.92,0.706666667
Urad,2000,Rabi       ,Puducherry,3392.0,2123,1434.5875,332992.64,881.92,0.706666667
Arecanut,2000,Whole Year ,West Bengal,7773.0,12191,1907.7,763075.41,2020.98,1.84
Arhar/Tur,2000,Kharif     ,West Bengal,8868.0,5930,1907.7,870571.56,2305.68,0.686153846
Bajra,2000,Kharif     ,West Bengal,313.0,256,1907.7,30727.21,81.38,0.8875
Barley,2000,Rabi       ,West Bengal,3471.0,1820,1907.7,340748.07,902.46,0.62
Castor seed,2000,Kharif     ,West Bengal,100.0,127,1907.7,9817.0,26.0,1.27
Cotton(lint),2000,Kharif     ,West Bengal,1188.0,2732,1907.7,116625.96,308.88,2.3
Ginger,2000,Kharif     ,West Bengal,9328.0,18898,1907.7,915729.76,2425.28,1.524444444
Groundnut,2000,Kharif     ,West Bengal,2020.0,1594,1907.7,198303.4,525.2,0.968333333
Groundnut,2000,Rabi       ,West Bengal,8513.0,12379,1907.7,835721.21,2213.38,1.37
Horse-gram,2000,Rabi       ,West Bengal,4311.0,2164,1907.7,423210.87,1120.86,0.49
Jowar,2000,Kharif     ,West Bengal,1016.0,521,1907.7,99740.72,264.16,0.578333333
Linseed,2000,Rabi       ,West Bengal,11869.0,3972,1907.7,1165179.73,3085.94,0.460769231
Moong(Green Gram),2000,Kharif     ,West Bengal,635.0,308,1907.7,62337.95,165.1,0.498571429
Moong(Green Gram),2000,Rabi       ,West Bengal,2410.0,1402,1907.7,236589.7,626.6,0.583636364
Moong(Green Gram),2000,Summer     ,West Bengal,8197.0,4809,1907.7,804699.49,2131.22,0.544666667
Niger seed,2000,Kharif     ,West Bengal,6874.0,3702,1907.7,674820.58,1787.24,0.405555556
Other Kharif pulses,2000,Kharif     ,West Bengal,825.0,409,1907.7,80990.25,214.5,0.548333333
Peas & beans (Pulses),2000,Rabi       ,West Bengal,7338.0,6111,1907.7,720371.46,1907.88,0.843333333
Ragi,2000,Kharif     ,West Bengal,12651.0,15242,1907.7,1241948.67,3289.26,0.926
Safflower,2000,Rabi       ,West Bengal,29.0,9,1907.7,2846.93,7.54,0.3
Small millets,2000,Kharif     ,West Bengal,3061.0,1625,1907.7,300498.37,795.86,0.682857143
Small millets,2000,Rabi       ,West Bengal,1285.0,1308,1907.7,126148.45,334.1,0.946666667
Soyabean,2000,Kharif     ,West Bengal,538.0,322,1907.7,52815.46,139.88,0.5775
Sunflower,2000,Kharif     ,West Bengal,246.0,156,1907.7,24149.82,63.96,1.276666667
Tobacco,2000,Whole Year ,West Bengal,10456.0,5703,1907.7,1026465.52,2718.56,0.598
Turmeric,2000,Whole Year ,West Bengal,13885.0,22445,1907.7,1363090.45,3610.1,1.536111111
Urad,2000,Rabi       ,West Bengal,13860.0,8813,1907.7,1360636.2,3603.6,0.612307692
Arecanut,2001,Whole Year ,Andhra Pradesh,268.0,449,928.4,27370.84,69.68,1.71
Arhar/Tur,2001,Rabi       ,Andhra Pradesh,5439.0,2706,928.4,555485.07,1414.14,0.46
Bajra,2001,Rabi       ,Andhra Pradesh,9684.0,7442,928.4,989026.92,2517.84,0.795
Ginger,2001,Whole Year ,Andhra Pradesh,2547.0,6263,928.4,260125.11,662.22,2.4375
Gram,2001,Kharif     ,Andhra Pradesh,91.0,101,928.4,9293.83,23.66,1.092857143
Horse-gram,2001,Kharif     ,Andhra Pradesh,11412.0,4417,928.4,1165507.56,2967.12,0.368888889
Linseed,2001,Rabi       ,Andhra Pradesh,5872.0,1419,928.4,599707.36,1526.72,0.218333333
Niger seed,2001,Kharif     ,Andhra Pradesh,19090.0,8017,928.4,1949661.7,4963.4,0.38
Other  Rabi pulses,2001,Rabi       ,Andhra Pradesh,13750.0,5012,928.4,1404287.5,3575.0,0.510666667
Other Kharif pulses,2001,Kharif     ,Andhra Pradesh,17331.0,4573,928.4,1770015.03,4506.06,0.314210526
Ragi,2001,Rabi       ,Andhra Pradesh,12994.0,22707,928.4,1327077.22,3378.44,1.738
Rapeseed &Mustard,2001,Rabi       ,Andhra Pradesh,2452.0,790,928.4,250422.76,637.52,0.3275
Safflower,2001,Rabi       ,Andhra Pradesh,19728.0,5920,928.4,2014820.64,5129.28,0.303
Small millets,2001,Rabi       ,Andhra Pradesh,931.0,760,928.4,95083.03,242.06,0.732
Wheat,2001,Rabi       ,Andhra Pradesh,13793.0,9486,928.4,1408679.09,3586.18,0.6275
Arhar/Tur,2001,Kharif     ,Assam,7236.0,5125,1824.7,739012.68,1881.36,0.709130435
Castor seed,2001,Kharif     ,Assam,1636.0,671,1824.7,167084.68,425.36,0.42952381
Cotton(lint),2001,Kharif     ,Assam,1882.0,860,1824.7,192208.66,489.32,0.443913043
Dry chillies,2001,Whole Year ,Assam,14732.0,9647,1824.7,1504579.16,3830.32,0.637826087
Gram,2001,Rabi       ,Assam,2463.0,1295,1824.7,251546.19,640.38,0.466190476
Linseed,2001,Rabi       ,Assam,9972.0,5114,1824.7,1018440.36,2592.72,0.505714286
Maize,2001,Kharif     ,Assam,19600.0,13940,1824.7,2001748.0,5096.0,0.608695652
Moong(Green Gram),2001,Rabi       ,Assam,8206.0,3740,1824.7,838078.78,2133.56,0.44173913
Niger seed,2001,Kharif     ,Assam,8914.0,4567,1824.7,910386.82,2317.64,0.532777778
Onion,2001,Whole Year ,Assam,7476.0,17453,1824.7,763523.88,1943.76,2.351304348
Sesamum,2001,Kharif     ,Assam,14738.0,8054,1824.7,1505191.94,3831.88,0.489565217
